ConfigName,MeanTest_Raw,MeanTest_Norm,DiffNormMinusRaw
H[30]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],89.6266666666667,85.8266666666667,-3.79999999999998
H[10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],82.4,91.02,8.61999999999999
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],88.2,80.36,-7.84000000000003
H[20_10]_TR[trainscg]_OUT[tansig]_DIV[70-15-15]_EP[100]_LR[0.010],35.1333333333333,36.2133333333333,1.08
H[20_10]_TR[trainscg]_OUT[tansig]_DIV[70-15-15]_EP[50]_LR[0.010],37.2933333333333,37.9733333333333,0.680000000000007
H[30_15]_TR[trainscg]_OUT[tansig]_DIV[70-15-15]_EP[50]_LR[0.010],40.72,42.6266666666667,1.90666666666667
