ConfigName,HiddenLayers,TrainFcn,OutputFcn,TrainRatio,ValRatio,TestRatio,Epochs,LR,MeanGlobal,StdGlobal,MeanTest,StdTest
H[30]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[100]_LR[0.010],30,trainscg,logsig,0.7,0.15,0.15,100,0.01,90.784,4.25745672647154,90.8533333333333,3.77081711680573
H[10]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[100]_LR[0.010],10,trainscg,logsig,0.8,0.1,0.1,100,0.01,89.128,14.2899038174199,89.3,13.7389147234335
H[30_15]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],[30 15],trainscg,logsig,0.8,0.1,0.1,50,0.01,86.994,9.01272705061509,87.46,8.45539932692583
H[10]_TR[trainscg]_OUT[logsig]_DIV[70-15-15]_EP[50]_LR[0.010],10,trainscg,logsig,0.7,0.15,0.15,50,0.01,85.892,12.7695269206724,86.1466666666667,12.2220525240744
H[30]_TR[trainscg]_OUT[logsig]_DIV[80-10-10]_EP[50]_LR[0.010],30,trainscg,logsig,0.8,0.1,0.1,50,0.01,85.872,11.2184419595593,86,11.6462678809804
